Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
true blood,1,All pure fruit juices are considered kosher except grape juice which requires extra kosher requirements,https://trends.google.ca/trends/explore?q=all+pure+fruit+juices+are+considered+kosher+except+grape+juice+which+requires+extra+kosher+requirements&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
true blood,2,Jehova’s witness abstain from blood,https://trends.google.ca/trends/explore?q=jehova%E2%80%99s+witness+abstain+from+blood&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
true blood,3,The area where blood vessels are penetrating the center of the bone used to be occupied by which tissue?,https://trends.google.ca/trends/explore?q=the+area+where+blood+vessels+are+penetrating+the+center+of+the+bone+used+to+be+occupied+by+which+tissue?&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
true blood,4,Lymphatic capillaries are usually ______ in diameter than blood capillaries.,https://trends.google.ca/trends/explore?q=lymphatic+capillaries+are+usually+______+in+diameter+than+blood+capillaries.&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
true blood,5,"During passover, leavened products are considered non-kosher","https://trends.google.ca/trends/explore?q=during+passover,+leavened+products+are+considered+non-kosher&date=now+7-d&geo=US",Breakout,216,TV Show,2024-10-03
true blood,6,Anna kim,https://trends.google.ca/trends/explore?q=anna+kim&date=now+7-d&geo=US,"+4,650%",216,TV Show,2024-10-03
true blood,7,What controls bone remodeling?,https://trends.google.ca/trends/explore?q=what+controls+bone+remodeling?&date=now+7-d&geo=US,"+3,850%",216,TV Show,2024-10-03
true blood,8,What is the least reliable way to assess physical exertion during exercise?,https://trends.google.ca/trends/explore?q=what+is+the+least+reliable+way+to+assess+physical+exertion+during+exercise?&date=now+7-d&geo=US,+550%,216,TV Show,2024-10-03
true blood,9,"Often when a cancerous tumor is surgically removed from a patient, surrounding lymph nodes are removed as well. why?","https://trends.google.ca/trends/explore?q=often+when+a+cancerous+tumor+is+surgically+removed+from+a+patient,+surrounding+lymph+nodes+are+removed+as+well.+why?&date=now+7-d&geo=US",+500%,216,TV Show,2024-10-03
true blood,10,What is true about all muscles in the human body?,https://trends.google.ca/trends/explore?q=what+is+true+about+all+muscles+in+the+human+body?&date=now+7-d&geo=US,+450%,216,TV Show,2024-10-03
