Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
This Is Us,1,Eris baker,https://trends.google.ca/trends/explore?q=eris+baker&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
This Is Us,2,Paraphrase tool,https://trends.google.ca/trends/explore?q=paraphrase+tool&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
This Is Us,3,What has research shown about processing subliminal messages?,https://trends.google.ca/trends/explore?q=what+has+research+shown+about+processing+subliminal+messages?&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
This Is Us,4,Does kate lose weight on this is us,https://trends.google.ca/trends/explore?q=does+kate+lose+weight+on+this+is+us&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
This Is Us,5,How many total representatives are there in the us congress?,https://trends.google.ca/trends/explore?q=how+many+total+representatives+are+there+in+the+us+congress?&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
This Is Us,6,Which of the following logic tree would include an “if-then” structure where you could explore potential outcomes of each decision.,https://trends.google.ca/trends/explore?q=which+of+the+following+logic+tree+would+include+an+%E2%80%9Cif-then%E2%80%9D+structure+where+you+could+explore+potential+outcomes+of+each+decision.&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
This Is Us,7,"The preamble describes six reasons for establishing the us constitution, what are those six reasons?","https://trends.google.ca/trends/explore?q=the+preamble+describes+six+reasons+for+establishing+the+us+constitution,+what+are+those+six+reasons?&date=now+1-d&geo=US",Breakout,216,TV Show,2024-10-02
This Is Us,8,Which branch of government is also known as congress?,https://trends.google.ca/trends/explore?q=which+branch+of+government+is+also+known+as+congress?&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
This Is Us,9,How many amendments are there to the us constitution?,https://trends.google.ca/trends/explore?q=how+many+amendments+are+there+to+the+us+constitution?&date=now+1-d&geo=US,"+4,550%",216,TV Show,2024-10-02
This Is Us,10,The idea of christian republicanism gained momentum after the american revolution. identify the statements that describe this concept.,https://trends.google.ca/trends/explore?q=the+idea+of+christian+republicanism+gained+momentum+after+the+american+revolution.+identify+the+statements+that+describe+this+concept.&date=now+1-d&geo=US,"+2,650%",216,TV Show,2024-10-02
This Is Us,11,This is why they hate us,https://trends.google.ca/trends/explore?q=this+is+why+they+hate+us&date=now+1-d&geo=US,+600%,216,TV Show,2024-10-02
This Is Us,12,Which nerve carries visual information from the retina to the brain?,https://trends.google.ca/trends/explore?q=which+nerve+carries+visual+information+from+the+retina+to+the+brain?&date=now+1-d&geo=US,+350%,216,TV Show,2024-10-02
This Is Us,13,Is this play about us gif,https://trends.google.ca/trends/explore?q=is+this+play+about+us+gif&date=now+1-d&geo=US,+350%,216,TV Show,2024-10-02
This Is Us,14,Only murders in the building,https://trends.google.ca/trends/explore?q=only+murders+in+the+building&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
